##############################################################################################################################################
NUM     NAME              Gl     Gb     P0                   P1              DM          DIST   DIST_DM     AGE    BINARY   PSR               
#                       (deg)  (deg)  (s)                                (cm^#3 pc)     (kpc)  (kpc)       (Yr)   (type)   TYPE               
##############################################################################################################################################
1     J0006+1834       108.17 -42.98 0.69374767047         2.097E-15      12.0         0.70   0.70       5.24e+06 *       *                   
2     J0007+7303       119.66 10.46  0.3158731909          3.6039E-13     *            *      *          1.39e+04 *       NRAD                
3     B0011+47         116.50 -14.63 1.240699038946        5.6446E-16     30.85        1.82   1.82       3.48e+07 *       *                   
4     J0023+0923       111.38 -52.85 0.00305               *              14.3         0.95   0.95       *        BT      HE                  
5     B0021-72C        305.92 -44.89 0.00575677999551320   -4.9850E-20    24.599       4.00   +2.49      *        *       *                   

6     B0021-72D        305.88 -44.89 0.00535757328486266   -3.430E-21     24.729       4.00   +2.49      *        *       *                   
7     B0021-72E        305.88 -44.88 0.00353632915276031   9.8509E-20     24.230       4.00   +2.49      5.69e+08 ELL1    *                   
8     B0021-72F        305.90 -44.89 0.00262357935251098   6.4500E-20     24.379       4.00   +2.49      6.44e+08 *       *                   
9     B0021-72G        305.89 -44.89 0.0040403791435629    -4.2150E-20    24.441       4.00   +2.49      *        *       *                   
10    B0021-72H        305.90 -44.90 0.0032103407093484    -1.835E-21     24.36        4.00   +2.49      *        BT      *                   

11    B0021-72I        305.89 -44.89 0.0034849920616611    -4.5872E-20    24.42        4.00   +2.49      *        ELL1    *                   
12    B0021-72J        305.91 -44.90 0.00210063354535247   -9.7921E-21    24.5848      4.00   +2.49      *        ELL1    *                   
13    B0021-72L        305.90 -44.89 0.0043461679994601    -1.2206E-19    24.38        4.00   +2.49      *        *       *                   
14    B0021-72M        305.91 -44.88 0.0036766432175977    -3.843E-20     24.42        4.00   +2.49      *        *       *                   
15    B0021-72N        305.89 -44.90 0.0030539543462594    -2.1871E-20    24.56        4.00   +2.49      *        *       *                   

16    J0024-7204O      305.90 -44.89 0.0026433432972417    3.0353E-20     24.363       4.00   +2.49      1.38e+09 ELL1    *                   
17    J0024-7204P      305.89 -44.89 0.003643021           *              24.3         4.00   +2.49      *        BT      *                   
