# File generated by CMD 2.5 (http://stev.oapd.inaf.it/cmd) on Mon Aug  4 23:53:44 CEST 2014
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00100		Age = 	1.050e+10 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF
	10.02	0.15000001	0.1500	-2.3281	3.5796	5.2066	10.590	14.282	13.062	11.613	10.676	9.907	8.958	8.380	8.190	1.96093953	
	10.02	0.20000000	0.2000	-2.0317	3.6013	5.1218	9.849	12.853	11.951	10.671	9.831	9.145	8.273	7.692	7.516	2.22178221	
	10.02	0.25000000	0.2500	-1.8366	3.6125	5.0686	9.361	12.182	11.338	10.113	9.315	8.658	7.816	7.232	7.066	2.40809011	
	10.02	0.30000001	0.3000	-1.6861	3.6213	5.0323	8.985	11.664	10.864	9.682	8.916	8.283	7.464	6.877	6.719	2.54750419	
	10.02	0.34999999	0.3500	-1.5606	3.6288	5.0038	8.671	11.228	10.467	9.321	8.583	7.969	7.171	6.584	6.435	2.65552020	
	10.02	0.40000001	0.4000	-1.4201	3.6363	4.9513	8.320	10.752	10.033	8.923	8.214	7.621	6.840	6.253	6.114	2.74133730	
	10.02	0.44999999	0.4500	-1.2892	3.6456	4.9090	7.993	10.268	9.602	8.537	7.864	7.296	6.538	5.953	5.827	2.81098008	
	10.02	0.50000000	0.5000	-1.1368	3.6582	4.8525	7.612	9.670	9.089	8.081	7.455	6.918	6.193	5.622	5.509	2.86847806	
	10.02	0.55000001	0.5500	-0.9622	3.6770	4.7944	7.175	8.905	8.464	7.537	6.976	6.484	5.814	5.277	5.181	2.91663504	
	10.02	0.59888369	0.5989	-0.7767	3.7016	4.7446	6.712	8.029	7.793	6.966	6.474	6.030	5.436	4.960	4.880	2.95655680	          
	10.02	0.60000002	0.5998	-0.7727	3.7022	4.7434	6.702	8.011	7.779	6.954	6.464	6.020	5.428	4.953	4.874	2.95739889	
	10.02	0.61354315	0.6133	-0.7190	3.7098	4.7300	6.567	7.764	7.591	6.798	6.325	5.894	5.324	4.866	4.792	2.96739101	          
	10.02	0.64045441	0.6402	-0.6123	3.7250	4.7023	6.301	7.274	7.217	6.488	6.048	5.643	5.118	4.694	4.629	2.98609042	          
	10.02	0.66453731	0.6642	-0.5163	3.7384	4.6762	6.061	6.871	6.896	6.226	5.812	5.428	4.937	4.540	4.483	3.00159407	          
	10.02	0.68653911	0.6861	-0.4278	3.7504	4.6499	5.839	6.505	6.602	5.984	5.595	5.229	4.770	4.395	4.346	3.01483512
