-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#     NAME                     Gl     Gb     P0                                     P1                                 DM                           DIST   DIST_DM             AGE      BINARY             PSR                             
                               (deg)  (deg)  (s)                                                                       (cm^-3 pc)                   (kpc)  (kpc)               (Yr)     (type)             TYPE                            
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1     J0006+1834    cnt96      108.17 -42.98 0.69374767047           14  cn95       2.097E-15           12  cn95       12.0           6  cn95       0.70   0.70     tc93       5.24e+06 *       *          *                               
2     J0007+7303    aaa+09c    119.66 10.46  0.3158731909             3  awd+12     3.6039E-13           5  awd+12     *              0  *          *      *        *          1.39e+04 *       *          NRAD                            
3     B0011+47      dth78      116.50 -14.63 1.240699038946          11  hlk+04     5.6446E-16          14  hlk+04     30.85          7  hlk+04     1.82   1.82     tc93       3.48e+07 *       *          *                               
4     J0023+0923    hrm+11     111.38 -52.85 0.00305                  0  hrm+11     *                    0  *          14.3           0  hrm+11     0.95   0.95     tc93       *        BT      hrm+11     HE                              
5     B0021-72C     mld+90     305.92 -44.89 0.00575677999551320     17  fck+03     -4.9850E-20          7  fck+03     24.599         2  fkl+01     4.00   +2.49    tc93       *        *       *          *                               

6     B0021-72D     mlr+91     305.88 -44.89 0.00535757328486266     18  fck+03     -3.430E-21           6  fck+03     24.729         2  fkl+01     4.00   +2.49    tc93       *        *       *          *                               
7     B0021-72E     mlr+91     305.88 -44.88 0.00353632915276031     13  fck+03     9.8509E-20           7  fck+03     24.230         2  fkl+01     4.00   +2.49    tc93       5.69e+08 ELL1    fck+03     *                               
8     B0021-72F     mlr+91     305.90 -44.89 0.00262357935251098     14  fck+03     6.4500E-20           4  fck+03     24.379         5  fkl+01     4.00   +2.49    tc93       6.44e+08 *       *          *                               
9     B0021-72G     rlm+95     305.89 -44.89 0.0040403791435629       4  fck+03     -4.2150E-20         17  fck+03     24.441         5  fkl+01     4.00   +2.49    tc93       *        *       *          *                               
10    B0021-72H     mlr+91     305.90 -44.90 0.0032103407093484       5  fck+03     -1.835E-21          11  fck+03     24.36          3  fkl+01     4.00   +2.49    tc93       *        BT      fck+03     *                               

11    B0021-72I     mlr+91     305.89 -44.89 0.0034849920616611       5  fck+03     -4.5872E-20         13  fck+03     24.42          2  fkl+01     4.00   +2.49    tc93       *        ELL1    fck+03     *                               
12    B0021-72J     mlr+91     305.91 -44.90 0.00210063354535247      3  fck+03     -9.7921E-21          9  fck+03     24.5848        9  fck+03     4.00   +2.49    tc93       *        ELL1    fck+03     *                               
13    B0021-72L     rlm+95     305.90 -44.89 0.0043461679994601      14  fck+03     -1.2206E-19          4  fck+03     24.38          5  fkl+01     4.00   +2.49    tc93       *        *       *          *                               
14    B0021-72M     mlr+91     305.91 -44.88 0.0036766432175977      10  fck+03     -3.843E-20           3  fck+03     24.42          2  fkl+01     4.00   +2.49    tc93       *        *       *          *                               
15    B0021-72N     rlm+95     305.89 -44.90 0.0030539543462594       4  fck+03     -2.1871E-20         10  fck+03     24.56          3  fkl+01     4.00   +2.49    tc93       *        *       *          *                               

16    J0024-7204O   clf+00     305.90 -44.89 0.0026433432972417       3  fck+03     3.0353E-20           7  fck+03     24.363        10  fck+03     4.00   +2.49    tc93       1.38e+09 ELL1    fck+03     *                               
17    J0024-7204P   clf+00     305.89 -44.89 0.003643021              1  clf+00     *                    0  *          24.3           1  clf+00     4.00   +2.49    tc93       *        BT      clf+00     *                               
18    J0024-7204Q   clf+00     305.88 -44.90 0.0040331811845700       5  fck+03     3.4013E-20          17  fck+03     24.29          2  fkl+01     4.00   +2.49    tc93       1.88e+09 ELL1    fck+03     *                               
19    J0024-7204R   clf+00     305.89 -44.89 0.003480463              1  clf+00     *                    0  *          24.4           1  clf+00     4.00   +2.49    tc93       *        BT      clf+00     *                               
20    J0024-7204S   clf+00     305.90 -44.89 0.0028304059578772       5  fck+03     -1.20536E-19        17  fck+03     24.353         9  fck+03     4.00   +2.49    tc93       *        ELL1    fck+03     *                               

21    J0024-7204T   clf+00     305.89 -44.89 0.007588479807364        5  fck+03     2.9374E-19          12  fck+03     24.39          6  fkl+01     4.00   +2.49    tc93       4.09e+08 ELL1    fck+03     *                               
